,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Transaction year,Transaction price
16817,491-34-068,37.3213963,-121.8313767,"2347 Tolbert CT San Jose, CA 95122",17170,12,6270,0,1978,1007,5,3,2.0,95122,570000,447,1997,126294
16818,491-34-069,37.3213017,-121.8315231,"2341 Tolbert CT San Jose, CA 95122",17170,12,7182,0,1978,1139,6,4,2.0,95122,570000,447,2014,378979
16819,491-34-007,37.3219042,-121.8321063,"1571 Tolbert Dr San Jose, CA 95122",17170,12,5995,0,1978,1007,5,3,2.0,95122,570000,447,2015,97230
16820,491-34-073,37.3218516,-121.8313275,"1582 Tolbert Dr San Jose, CA 95122",17170,12,5995,0,1978,1139,6,4,2.0,95122,570000,447,2008,339528
16821,491-34-074,37.3219226,-121.8312109,"1586 Tolbert Dr San Jose, CA 95122",17170,12,5995,0,1978,1139,6,4,2.0,95122,570000,447,1987,57180
16822,491-34-079,37.3216673,-121.8305138,"2305 Lanai Av San Jose, CA 95122",17170,12,6032,0,1978,1007,5,3,2.0,95122,570000,447,2014,27299
16823,491-34-080,37.3215709,-121.830415,"2311 Lanai Av San Jose, CA 95122",17170,12,6032,0,1978,1139,6,4,2.0,95122,570000,447,2003,93236
16824,491-34-081,37.3214158,-121.8302564,"2319 Lanai Av San Jose, CA 95122",17170,12,6032,0,1978,1007,5,3,2.0,95122,570000,447,1994,96646
16825,491-35-004,37.33416,-121.8244221,"1976 Tymn WY San Jose, CA 95122",17159,12,6042,0,1979,1231,6,4,2.0,95122,570000,447,2002,40157
16826,491-35-006,37.3343977,-121.8246533,"1964 Tymn WY San Jose, CA 95122",17159,12,6042,0,1979,1866,9,5,3.0,95122,570000,447,2014,232143
16827,491-35-007,37.3345259,-121.8247394,"1958 Tymn WY San Jose, CA 95122",17159,12,6042,0,1979,2740,13,6,4.5,95122,570000,447,2005,237827
16828,491-35-013,37.3347551,-121.8257903,"2125 Tehama Av San Jose, CA 95122",17159,12,6380,0,1979,1486,7,4,2.0,95122,570000,447,2009,103027
16829,491-35-014,37.3346294,-121.8259707,"2119 Tehama Av San Jose, CA 95122",17159,12,6380,0,1979,1971,6,4,2.0,95122,570000,447,2016,300256
16830,491-35-015,37.3345429,-121.8260765,"2115 Tehama Av San Jose, CA 95122",17159,12,6380,0,1979,1231,6,4,2.0,95122,570000,447,2011,179329
16831,491-35-016,37.3344646,-121.8262724,"2109 Tehama Av San Jose, CA 95122",17159,12,6272,0,1979,1091,5,3,2.0,95122,570000,447,2014,192149
16832,491-37-008,37.3266786,-121.8071557,"2433 Britt WY San Jose, CA 95148",17028,16,6000,0,1980,2105,10,4,2.5,95148,815000,478,2017,462081
16833,491-37-010,37.326616,-121.8075501,"2417 Britt WY San Jose, CA 95148",17028,16,6000,0,1980,2105,10,4,2.5,95148,800000,475,2000,259663
16834,491-37-016,37.3259211,-121.8079381,"2659 Keppler Dr San Jose, CA 95148",17028,16,6000,0,1980,2105,10,4,2.5,95148,800000,475,2016,573300
16835,491-37-017,37.3257642,-121.8078897,"2663 Keppler Dr San Jose, CA 95148",17028,16,6000,0,1980,1824,9,4,2.0,95148,800000,475,2001,189108
16836,491-37-020,37.3253062,-121.8076885,"2675 Keppler Dr San Jose, CA 95148",17028,16,6360,0,1980,1582,8,3,2.0,95148,800000,475,2001,62992
16837,491-37-024,37.3249405,-121.8071691,"2691 Keppler Dr San Jose, CA 95148",17028,16,8787,0,1980,1824,9,4,2.0,95148,800000,475,2001,254573
16838,491-37-026,37.3247325,-121.8065066,"2694 Keppler Dr San Jose, CA 95148",17028,16,5800,0,1980,2105,10,4,2.5,95148,800000,475,2013,188134
16839,491-37-028,37.3250722,-121.8066514,"2686 Keppler Dr San Jose, CA 95148",17028,16,6360,0,1980,2105,10,4,2.5,95148,800000,475,2016,517140
16840,491-37-029,37.3252307,-121.8067626,"2682 Keppler Dr San Jose, CA 95148",17028,16,6900,0,1980,2105,10,4,2.5,95148,800000,475,2010,358768
16841,491-37-032,37.3255783,-121.8070749,"2406 Hummel CT San Jose, CA 95148",17028,16,7500,0,1980,2105,10,4,2.5,95148,800000,475,2007,98942
16842,491-37-033,37.3255,-121.8066777,"2410 Hummel CT San Jose, CA 95148",17028,16,6780,0,1980,2546,11,4,2.5,95148,800000,475,1998,151331
16843,491-37-034,37.3256131,-121.8064985,"2414 Hummel CT San Jose, CA 95148",17028,16,7475,0,1980,2319,9,4,3.0,95148,800000,475,2004,498304
16844,491-37-036,37.3259839,-121.8065767,"2419 Hummel CT San Jose, CA 95148",17028,16,7656,0,1980,1582,8,3,2.0,95148,800000,475,2016,484602
16845,491-37-038,37.3259986,-121.8070382,"2411 Hummel CT San Jose, CA 95148",17028,16,6200,0,1980,1824,9,4,2.0,95148,800000,475,2015,459994
16846,491-37-039,37.3259445,-121.8072272,"2407 Hummel CT San Jose, CA 95148",17028,16,6000,0,1980,2105,10,4,2.5,95148,815000,478,1980,80641
16847,491-37-041,37.3261862,-121.807537,"2408 Britt WY San Jose, CA 95148",17028,16,7100,0,1980,1582,8,3,2.0,95148,800000,475,2004,300256
16848,491-37-044,37.3263032,-121.8069074,"2432 Britt WY San Jose, CA 95148",17028,16,6200,0,1980,2105,10,4,2.5,95148,800000,475,1991,123534
16849,491-37-046,37.3264207,-121.8064701,"2653 Scottsdale Dr San Jose, CA 95148",17028,16,7384,0,1980,1582,8,3,2.0,95148,800000,475,1987,98942
16850,491-37-047,37.3262744,-121.8063692,"2657 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1980,2105,10,4,2.5,95148,800000,475,2013,86233
16851,491-37-049,37.3259638,-121.8062256,"2665 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1980,2105,10,4,2.5,95148,800000,475,2000,192377
16852,491-37-050,37.325799,-121.806166,"2669 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1980,1582,8,3,2.0,95148,800000,475,1998,122082
16853,491-37-051,37.3256416,-121.8061105,"2673 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1980,2105,10,4,2.5,95148,800000,475,2010,426533
16854,491-37-053,37.3253505,-121.8062584,"2679 Milhon CT San Jose, CA 95148",17028,16,7930,0,1980,3505,12,7,5.5,95148,800000,475,2007,158293
16855,491-37-054,37.32515,-121.8062914,"2681 Milhon CT San Jose, CA 95148",17028,16,9102,0,1980,1824,9,4,2.0,95148,800000,475,2007,124617
16856,491-37-062,37.3255458,-121.8055262,"2678 Scottsdale Dr San Jose, CA 95148",17028,16,6200,0,1981,1582,8,3,2.0,95148,800000,475,2005,85499
16857,491-37-063,37.3256994,-121.8056011,"2674 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1981,2105,10,4,2.5,95148,800000,475,1993,119491
16858,491-37-064,37.3258584,-121.8056545,"2670 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1981,2105,10,4,2.5,95148,800000,475,1981,80902
16859,491-37-065,37.3260396,-121.8057054,"2666 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1981,1824,9,4,2.0,95148,815000,478,1988,82451
16860,491-37-066,37.3261926,-121.8057817,"2662 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1981,2105,10,4,2.5,95148,800000,475,2008,140326
16861,491-37-067,37.3263551,-121.8058411,"2658 Scottsdale Dr San Jose, CA 95148",17028,16,6000,0,1981,2105,10,4,2.5,95148,800000,475,2008,403884
16862,491-37-074,37.325786,-121.8052622,"2675 Sand Point Dr San Jose, CA 95148",17028,16,6200,0,1983,1200,7,3,2.0,95148,800000,475,2012,253247
