,Parcel ID,Lat,Lng,Property address,Tax rate area,Neighborhood,Lot sq. ft.,Property class,Year built,Square feet,Rooms,Bedrooms,Bathrooms,ZIP code,Median Price(2017),Median $ per Sq. Ft.(2017),Value at Median $ per Sq. Ft.(2017)
12216,462-55-015,37.265539,-121.8554975,"624 Branham Ln San Jose, CA 95136",17108,8,7700,0,1976,1954,7.0,5.0,2.5,95136,860000,482,754958.4
12217,462-55-021,37.2652229,-121.8550781,"4575 Sidlaw CT San Jose, CA 95136",17108,8,7700,0,1976,1954,7.0,5.0,2.5,95136,860000,482,754958.4
12218,462-55-022,37.2650277,-121.8549786,"4583 Sidlaw CT San Jose, CA 95136",17108,8,6600,0,1976,1330,5.0,3.0,2.0,95136,860000,482,513866.4
12219,462-55-023,37.2649532,-121.8548085,"4591 Sidlaw CT San Jose, CA 95136",17108,8,6000,0,1976,1640,7.0,4.0,2.0,95136,858000,479,628729.6
12220,462-55-024,37.2648233,-121.8546878,"4599 Sidlaw CT San Jose, CA 95136",17108,8,6050,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12221,462-55-029,37.2648868,-121.8540089,"4614 Sidlaw CT San Jose, CA 95136",17108,8,7200,0,1976,1330,5.0,3.0,3.0,95136,858000,479,509884.0
12222,462-55-030,37.2649844,-121.8541896,"4606 Sidlaw CT San Jose, CA 95136",17108,8,7000,0,1976,1954,7.0,5.0,2.5,95136,860000,482,754958.4
12223,462-55-031,37.2651181,-121.8542911,"4598 Sidlaw CT San Jose, CA 95136",17108,8,6050,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12224,462-55-032,37.2652321,-121.8544345,"4568 Sidlaw CT San Jose, CA 95136",17108,8,7000,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12225,462-55-033,37.2654629,-121.8543188,"4560 Sidlaw CT San Jose, CA 95136",17108,8,6000,0,1976,2321,8.0,5.0,2.5,95136,860000,482,896754.4
12226,462-55-035,37.2655684,-121.8539129,"4559 Birkenshaw Pl San Jose, CA 95136",17108,8,6800,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
12227,462-55-036,37.265412,-121.853989,"4567 Birkenshaw Pl San Jose, CA 95136",17108,8,7000,0,1976,1954,7.0,5.0,2.5,95136,858000,479,749108.0
12228,462-55-037,37.2652229,-121.8539552,"4579 Birkenshaw Pl San Jose, CA 95136",17108,8,6600,0,1976,1330,5.0,3.0,2.0,95136,860000,482,513866.4
12229,462-55-038,37.2651153,-121.8537694,"4580 Birkenshaw Pl San Jose, CA 95136",17108,8,7000,0,1976,1640,7.0,4.0,2.0,95136,860000,482,633639.2
